generation,best_fitness,frequency0,amplitude0,phase_offset0,frequency1,amplitude1,phase_offset1,frequency2,amplitude2,phase_offset2,frequency3,amplitude3,phase_offset3,frequency4,amplitude4,phase_offset4,frequency5,amplitude5,phase_offset5,frequency6,amplitude6,phase_offset6,frequency7,amplitude7,phase_offset7,frequency8,amplitude8,phase_offset8,frequency9,amplitude9,phase_offset9
0,96.7099807086504,-0.895261669055943,-0.514675219489906,-0.686809780635212,-2.30712330442359,0.757672208910593,-0.919190731616598,-0.711850546586915,3.11515070710486,-1.27247510920533,2.2640455814698,0.733714356735536,1.62803990235482,1.3039902145909,-1.89004650533876,1.53334616874236,-0.721306002977856,-2.4494530094595,1.77012705898255,-0.793192969547971,2.02582338313837,-1.2052162301359,-0.98823912366603,-2.06494936591096,1.31381470530649,0.490957867642141,3.55770692747618,1.86282304284409,-3.01837808024111,0.015873127286868,-3.78171115121578
1,98.3895091051055,0.218676615786143,-0.215800331597953,-3.33617010962411,-0.762836378484319,-0.259635197856227,-2.58164961920761,-1.22294428620389,0.777700549347073,-0.596219408875892,-1.85739215814369,-0.606535703430686,3.76495948299834,3.1954874580331,0.066546332158245,-0.131219140052024,-2.71464831129302,-1.53792826143234,-1.82282200643446,2.87991985844403,1.80245622267989,0.112538623719539,1.49660600859354,-1.09619276988063,-1.34737074432704,1.30178029661689,-0.491973171360265,-2.01994061054846,-1.73624219051068,1.15894006134565,2.00346195787647
2,97.7918874983359,-1.45517424465018,1.22368482939512,-1.51267509459655,-0.899621514790961,0.753138207520249,-1.62942041134578,-0.803198094927849,0.742531594572694,-1.73197228879222,0.585503219458509,-0.654487703929973,2.20135520757188,2.42479682512357,-1.08778102845428,2.07936200835374,-1.43207894954711,1.55366866211835,0.487806584281924,-1.1693758768126,0.410635671741343,-0.792786644333106,-1.41972106507507,2.89350270763023,0.252772870078588,0.485856337239509,1.11433720268453,-0.133080941213362,-0.945927785544781,0.47773501477585,-4.6248892570725
3,96.9851597577597,-2.28745990943812,-1.09047395038089,-1.84123453444065,-3.57658904687546,-2.51258798961618,-1.50319074327071,-1.00962644120871,-1.32840605854436,-0.265438509920387,1.41575233199403,-0.043156302488633,-0.047268050865508,1.27925072854784,-2.48388535377543,1.71529872630811,1.20908666196771,2.3362805517181,2.20142265620798,3.82825939731452,4.41628501166749,-2.83560777821689,0.098228973758246,-0.05468290392597,-2.12362955267631,-0.153018875437792,1.99043703021381,-4.93576458844429,-3.75351697931953,3.77904492107571,-3.6823747679812
4,98.2667442034339,0.797582943124977,0.814120387332426,-0.474596292958775,2.15569923198652,-5.12789770820105,-0.889876007800466,-2.66962067560753,2.30932692424918,-1.12047625179507,0.846183051574501,0.512129667571225,3.32835289029432,0.414081525697976,0.352807477355422,2.0603869707601,0.964006735809073,0.259308003375765,0.475436767639658,1.21966324046423,0.118019604729427,-3.91369610871546,2.03197511800076,2.63707272153815,-1.12183824203754,-1.38010656027907,0.113554523664073,-0.215231892079219,-1.58189291972598,3.78028104771953,-2.39042560881325
5,96.2669340463406,-0.250795648282046,-2.70237789439218,0.108539155913772,-2.76986892756383,-3.97595730560521,-2.38915660706519,0.827303201082927,2.35410046859194,-1.71124705982925,2.02198245509076,2.46826428126572,2.4485048754835,-0.642362782224763,2.20574624392995,2.10318099555492,2.28999879236314,-1.3792137905282,-0.261188543557591,-1.29979303731115,4.44818124792552,-1.34459811908962,1.20512848881262,3.42019880893657,-1.24215146913493,-0.302730642980818,2.16830473977465,-0.507855922504503,-2.65693106273718,0.665207081830431,-1.53053055179921
6,95.4472548424674,-2.26517169485969,-2.32885644284915,-3.0952853834249,-0.233633037691908,-2.81927547338125,-2.56754806268581,-3.47867131033074,-0.546071008017613,0.764739752195497,1.38799474653842,1.91787882259861,3.24469509880358,-2.19093461837215,1.65491688430374,1.91682607740118,0.359103888274132,-1.17622921595455,-1.36023887422821,2.08725536525154,2.45944714632738,-2.74063328133246,-1.2708586998462,2.48113514917012,-1.75172680357822,-0.565092145958009,4.53525838913482,-2.22691206734283,-2.08023395387622,0.348463549500754,-1.15077733151938
7,97.58587549441,-2.76955412360593,-1.48061849798097,-1.58322454067232,-3.32679718017052,-1.73412841712614,-0.145741078680524,-1.20184271666564,-0.469197892675611,-2.30628295200147,-3.36074084632029,0.350593410482084,2.32551279024623,-2.95335264915879,1.95746551051295,2.70095676967908,-1.27893757024163,1.95871226973088,-1.34410349759314,2.44736347992339,2.13730885358654,-2.96545612988278,0.384385980875256,1.89799013062662,-2.60372259171271,-2.59924926753627,4.28420023280134,0.361982454555502,-5.82106478886826,5.17431373785412,0.679668012475056
8,97.8353470082542,0.463772313713224,-1.76006653264729,-3.33107345611825,-0.770780792634906,-1.85486754570836,1.68043631456412,1.41045107879127,-2.36141338256031,-1.96012919681797,-3.65774037139886,-1.66940878385755,1.92247798142247,-2.85072564112797,2.12033140464013,0.84003256612448,-3.34008203310613,3.41698779421841,-2.57797658641836,2.51672715268426,4.03748131335758,-2.84928263267274,1.57790898741386,1.981000232634,2.59088641875892,-1.67699849132211,2.35868052148874,-1.45578139804117,-2.00167175829443,1.72308454114105,0.911800746384489
9,96.2012027121072,-3.32583750500651,-1.18367481104022,-2.10675886419052,-0.963209492432395,-3.00426337309978,0.082029683639894,0.80700467909281,0.018791555698552,-3.0006781302611,-0.104295941300334,0.920033480933355,-1.4503593531593,-1.21501436417569,3.14959536042776,1.57765107967469,-1.48861734482026,1.8470100520793,0.320778801176257,-2.37477575654633,2.21488805258458,-2.10215798336856,0.022889661676898,1.53414787193243,-1.30398313335337,0.841436942488882,1.70635893261385,-1.84645313000265,-4.1266856224898,2.18358876297639,-0.225181835221043
